"","Year","Gender_Female","Type_code","Total"
"212",2001,1,"Causes",20
"213",2001,1,"Causes",4
"214",2001,1,"Causes",2
"215",2001,1,"Causes",7
"216",2001,1,"Causes",17
"217",2001,1,"Causes",5
"218",2001,1,"Causes",3
"219",2001,1,"Causes",3
"220",2001,1,"Causes",61
"221",2001,1,"Causes",1
"222",2001,1,"Causes",48
"223",2001,1,"Causes",2
"224",2001,1,"Causes",2
"225",2001,1,"Causes",112
"226",2001,1,"Causes",9
"227",2001,1,"Causes",40
"228",2001,1,"Causes",23
"229",2001,1,"Causes",155
"230",2001,1,"Causes",65
"231",2001,1,"Causes",342
"232",2001,1,"Causes",6
"233",2001,1,"Causes",68
"234",2001,1,"Causes",44
"235",2001,1,"Causes",196
"236",2001,1,"Causes",7
"237",2001,1,"Causes",3
"238",2001,1,"Causes",159
"239",2001,1,"Causes",10
"240",2001,1,"Causes",21
"241",2001,1,"Causes",3
"242",2001,1,"Causes",36
"243",2001,1,"Causes",18
"244",2001,1,"Causes",8
"245",2001,1,"Causes",30
"246",2001,1,"Causes",31
"247",2001,1,"Causes",437
"248",2001,1,"Causes",39
"249",2001,1,"Causes",9
"250",2001,1,"Causes",10
"251",2001,1,"Causes",2
"252",2001,1,"Causes",14
"253",2001,1,"Causes",93
"254",2001,1,"Causes",8
"255",2001,1,"Causes",1
"256",2001,1,"Causes",4
"257",2001,1,"Causes",22
"258",2001,1,"Causes",142
"259",2001,1,"Causes",8
"260",2001,1,"Causes",1
"261",2001,1,"Causes",27
"262",2001,1,"Causes",7
"263",2001,1,"Causes",1
"264",2001,1,"Causes",41
"265",2001,1,"Causes",16
"266",2001,1,"Causes",3
"267",2001,1,"Causes",30
"268",2001,1,"Causes",315
"269",2001,1,"Causes",82
"270",2001,1,"Causes",41
"271",2001,1,"Causes",1
"272",2001,1,"Causes",1
"273",2001,1,"Causes",328
"274",2001,1,"Causes",273
"275",2001,1,"Causes",13
"276",2001,1,"Causes",6
"277",2001,1,"Causes",84
"278",2001,1,"Causes",19
"279",2001,1,"Causes",2
"280",2001,1,"Causes",2
"281",2001,1,"Causes",1
"282",2001,1,"Causes",11
"283",2001,1,"Causes",133
"284",2001,1,"Causes",8
"285",2001,1,"Causes",61
"286",2001,1,"Causes",1
"287",2001,1,"Causes",5
"288",2001,1,"Causes",52
"289",2001,1,"Causes",5
"290",2001,1,"Causes",10
"291",2001,1,"Causes",2
"292",2001,1,"Causes",9
"293",2001,1,"Causes",17
"294",2001,1,"Causes",1
"295",2001,1,"Causes",1
"296",2001,1,"Causes",2
"297",2001,1,"Causes",17
"298",2001,1,"Causes",1
"299",2001,1,"Causes",5
"300",2001,1,"Causes",3
"301",2001,1,"Causes",25
"302",2001,1,"Causes",83
"303",2001,1,"Causes",7
"304",2001,1,"Causes",1
"305",2001,1,"Causes",28
"306",2001,1,"Causes",15
"307",2001,1,"Causes",3
"308",2002,1,"Causes",14
"309",2002,1,"Causes",23
"310",2002,1,"Causes",1
"311",2002,1,"Causes",7
"312",2002,1,"Causes",1
"313",2002,1,"Causes",33
"314",2002,1,"Causes",41
"315",2002,1,"Causes",8
"316",2002,1,"Causes",4
"317",2002,1,"Causes",4
"318",2002,1,"Causes",1
"319",2002,1,"Causes",2
"320",2002,1,"Causes",332
"321",2002,1,"Causes",6
"322",2002,1,"Causes",117
"323",2002,1,"Causes",3
"324",2002,1,"Causes",9
"325",2002,1,"Causes",24
"326",2002,1,"Causes",4
"327",2002,1,"Causes",13
"328",2002,1,"Causes",75
"329",2002,1,"Causes",397
"330",2002,1,"Causes",1
"331",2002,1,"Causes",74
"332",2002,1,"Causes",6
"333",2002,1,"Causes",3
"334",2002,1,"Causes",12
"335",2002,1,"Causes",1
"336",2002,1,"Causes",229
"337",2002,1,"Causes",325
"338",2002,1,"Causes",8
"339",2002,1,"Causes",5
"340",2002,1,"Causes",12
"341",2002,1,"Causes",27
"342",2002,1,"Causes",43
"343",2002,1,"Causes",78
"344",2002,1,"Causes",335
"345",2002,1,"Causes",1
"346",2002,1,"Causes",11
"347",2002,1,"Causes",111
"348",2002,1,"Causes",25
"349",2002,1,"Causes",13
"350",2002,1,"Causes",61
"351",2002,1,"Causes",6
"352",2002,1,"Causes",17
"353",2002,1,"Causes",2
"354",2002,1,"Causes",2
"355",2002,1,"Causes",8
"356",2002,1,"Causes",17
"357",2002,1,"Causes",8
"358",2002,1,"Causes",4
"359",2002,1,"Causes",62
"360",2002,1,"Causes",11
"361",2002,1,"Causes",7
"362",2002,1,"Causes",319
"363",2002,1,"Causes",2
"364",2002,1,"Causes",57
"365",2002,1,"Causes",295
"366",2002,1,"Causes",10
"367",2002,1,"Causes",9
"368",2002,1,"Causes",3
"369",2002,1,"Causes",21
"370",2002,1,"Causes",1
"371",2002,1,"Causes",4
"372",2002,1,"Causes",41
"373",2002,1,"Causes",76
"374",2002,1,"Causes",209
"375",2002,1,"Causes",1
"376",2002,1,"Causes",1
"377",2002,1,"Causes",60
"378",2002,1,"Causes",134
"379",2002,1,"Causes",2
"380",2002,1,"Causes",8
"381",2002,1,"Causes",29
"382",2002,1,"Causes",83
"383",2002,1,"Causes",4
"384",2002,1,"Causes",17
"385",2002,1,"Causes",2
"386",2002,1,"Causes",17
"387",2002,1,"Causes",44
"388",2002,1,"Causes",12
"389",2002,1,"Causes",17
"390",2003,1,"Causes",2
"391",2003,1,"Causes",30
"392",2003,1,"Causes",5
"393",2003,1,"Causes",34
"394",2003,1,"Causes",6
"395",2003,1,"Causes",31
"396",2003,1,"Causes",1
"397",2003,1,"Causes",1
"398",2003,1,"Causes",20
"399",2003,1,"Causes",2
"400",2003,1,"Causes",2
"401",2003,1,"Causes",27
"402",2003,1,"Causes",22
"403",2003,1,"Causes",7
"404",2003,1,"Causes",3
"405",2003,1,"Causes",3
"406",2003,1,"Causes",1
"407",2003,1,"Causes",1
"408",2003,1,"Causes",18
"409",2003,1,"Causes",5
"410",2003,1,"Causes",17
"411",2003,1,"Causes",19
"412",2003,1,"Causes",1
"413",2003,1,"Causes",20
"414",2003,1,"Causes",15
"415",2003,1,"Causes",2
"416",2003,1,"Causes",12
"417",2003,1,"Causes",7
"418",2003,1,"Causes",12
"419",2003,1,"Causes",108
"420",2003,1,"Causes",80
"421",2003,1,"Causes",94
"422",2003,1,"Causes",239
"423",2003,1,"Causes",9
"424",2003,1,"Causes",296
"425",2003,1,"Causes",175
"426",2003,1,"Causes",38
"427",2003,1,"Causes",5
"428",2003,1,"Causes",18
"429",2003,1,"Causes",92
"430",2003,1,"Causes",71
"431",2003,1,"Causes",332
"432",2003,1,"Causes",6
"433",2003,1,"Causes",16
"434",2003,1,"Causes",3
"435",2003,1,"Causes",5
"436",2003,1,"Causes",53
"437",2003,1,"Causes",24
"438",2003,1,"Causes",10
"439",2003,1,"Causes",101
"440",2003,1,"Causes",276
"441",2003,1,"Causes",1
"442",2003,1,"Causes",4
"443",2003,1,"Causes",13
"444",2003,1,"Causes",25
"445",2003,1,"Causes",4
"446",2003,1,"Causes",52
"447",2003,1,"Causes",3
"448",2003,1,"Causes",19
"449",2003,1,"Causes",119
"450",2003,1,"Causes",8
"451",2003,1,"Causes",24
"452",2003,1,"Causes",33
"453",2003,1,"Causes",334
"454",2003,1,"Causes",54
"455",2003,1,"Causes",6
"456",2003,1,"Causes",11
"457",2003,1,"Causes",8
"458",2003,1,"Causes",32
"459",2003,1,"Causes",3
"460",2003,1,"Causes",5
"461",2003,1,"Causes",67
"462",2003,1,"Causes",16
"463",2003,1,"Causes",209
"464",2003,1,"Causes",18
"465",2003,1,"Causes",1
"466",2003,1,"Causes",5
"467",2003,1,"Causes",6
"468",2003,1,"Causes",3
"469",2003,1,"Causes",6
"470",2003,1,"Causes",56
"471",2003,1,"Causes",15
"472",2003,1,"Causes",7
"473",2003,1,"Causes",150
"474",2003,1,"Causes",2
"475",2003,1,"Causes",3
"476",2003,1,"Causes",2
"477",2003,1,"Causes",14
"478",2003,1,"Causes",33
"479",2003,1,"Causes",34
"480",2003,1,"Causes",1
"481",2003,1,"Causes",2
"482",2003,1,"Causes",3
"483",2003,1,"Causes",8
"484",2003,1,"Causes",2
"485",2003,1,"Causes",67
"486",2003,1,"Causes",12
"487",2003,1,"Causes",19
"488",2003,1,"Causes",1
"489",2004,1,"Causes",7
"490",2004,1,"Causes",7
"491",2004,1,"Causes",10
"492",2004,1,"Causes",16
"493",2004,1,"Causes",1
"494",2004,1,"Causes",29
"495",2004,1,"Causes",26
"496",2004,1,"Causes",35
"497",2004,1,"Causes",4
"498",2004,1,"Causes",2
"499",2004,1,"Causes",8
"500",2004,1,"Causes",82
"501",2004,1,"Causes",19
"502",2004,1,"Causes",19
"503",2004,1,"Causes",9
"504",2004,1,"Causes",9
"505",2004,1,"Causes",52
"506",2004,1,"Causes",3
"507",2004,1,"Causes",6
"508",2004,1,"Causes",223
"509",2004,1,"Causes",1
"510",2004,1,"Causes",212
"511",2004,1,"Causes",5
"512",2004,1,"Causes",33
"513",2004,1,"Causes",433
"514",2004,1,"Causes",12
"515",2004,1,"Causes",82
"516",2004,1,"Causes",82
"517",2004,1,"Causes",95
"518",2004,1,"Causes",438
"519",2004,1,"Causes",2
"520",2004,1,"Causes",6
"521",2004,1,"Causes",94
"522",2004,1,"Causes",22
"523",2004,1,"Causes",12
"524",2004,1,"Causes",11
"525",2004,1,"Causes",68
"526",2004,1,"Causes",12
"527",2004,1,"Causes",22
"528",2004,1,"Causes",8
"529",2004,1,"Causes",5
"530",2004,1,"Causes",5
"531",2004,1,"Causes",18
"532",2004,1,"Causes",2
"533",2004,1,"Causes",2
"534",2004,1,"Causes",19
"535",2004,1,"Causes",19
"536",2004,1,"Causes",57
"537",2004,1,"Causes",299
"538",2004,1,"Causes",51
"539",2004,1,"Causes",7
"540",2004,1,"Causes",92
"541",2004,1,"Causes",155
"542",2004,1,"Causes",14
"543",2004,1,"Causes",2
"544",2004,1,"Causes",17
"545",2004,1,"Causes",344
"546",2004,1,"Causes",14
"547",2004,1,"Causes",1
"548",2004,1,"Causes",1
"549",2004,1,"Causes",99
"550",2004,1,"Causes",8
"551",2004,1,"Causes",1
"552",2004,1,"Causes",139
"553",2004,1,"Causes",43
"554",2004,1,"Causes",24
"555",2004,1,"Causes",23
"556",2004,1,"Causes",82
"557",2004,1,"Causes",8
"558",2004,1,"Causes",3
"559",2004,1,"Causes",6
"560",2004,1,"Causes",2
"561",2004,1,"Causes",5
"562",2004,1,"Causes",2
"563",2004,1,"Causes",1
"564",2004,1,"Causes",42
"565",2004,1,"Causes",112
"566",2004,1,"Causes",3
"567",2004,1,"Causes",1
"568",2004,1,"Causes",1
"569",2004,1,"Causes",12
"570",2004,1,"Causes",165
"571",2004,1,"Causes",6
"572",2004,1,"Causes",27
"573",2004,1,"Causes",6
"574",2004,1,"Causes",4
"575",2004,1,"Causes",31
"576",2004,1,"Causes",6
"577",2004,1,"Causes",9
"578",2004,1,"Causes",35
"579",2004,1,"Causes",5
"580",2004,1,"Causes",4
"581",2004,1,"Causes",70
"582",2004,1,"Causes",17
"583",2004,1,"Causes",96
"584",2005,1,"Causes",8
"585",2005,1,"Causes",12
"586",2005,1,"Causes",40
"587",2005,1,"Causes",3
"588",2005,1,"Causes",1
"589",2005,1,"Causes",2
"590",2005,1,"Causes",12
"591",2005,1,"Causes",4
"592",2005,1,"Causes",1
"593",2005,1,"Causes",1
"594",2005,1,"Causes",36
"595",2005,1,"Causes",34
"596",2005,1,"Causes",1
"597",2005,1,"Causes",5
"598",2005,1,"Causes",1
"599",2005,1,"Causes",166
"600",2005,1,"Causes",2
"601",2005,1,"Causes",91
"602",2005,1,"Causes",3
"603",2005,1,"Causes",1
"604",2005,1,"Causes",54
"605",2005,1,"Causes",1
"606",2005,1,"Causes",387
"607",2005,1,"Causes",4
"608",2005,1,"Causes",5
"609",2005,1,"Causes",20
"610",2005,1,"Causes",30
"611",2005,1,"Causes",103
"612",2005,1,"Causes",11
"613",2005,1,"Causes",91
"614",2005,1,"Causes",161
"615",2005,1,"Causes",107
"616",2005,1,"Causes",11
"617",2005,1,"Causes",385
"618",2005,1,"Causes",3
"619",2005,1,"Causes",4
"620",2005,1,"Causes",224
"621",2005,1,"Causes",6
"622",2005,1,"Causes",13
"623",2005,1,"Causes",21
"624",2005,1,"Causes",87
"625",2005,1,"Causes",4
"626",2005,1,"Causes",44
"627",2005,1,"Causes",2
"628",2005,1,"Causes",300
"629",2005,1,"Causes",4
"630",2005,1,"Causes",4
"631",2005,1,"Causes",9
"632",2005,1,"Causes",2
"633",2005,1,"Causes",66
"634",2005,1,"Causes",15
"635",2005,1,"Causes",3
"636",2005,1,"Causes",202
"637",2005,1,"Causes",298
"638",2005,1,"Causes",110
"639",2005,1,"Causes",3
"640",2005,1,"Causes",76
"641",2005,1,"Causes",13
"642",2005,1,"Causes",23
"643",2005,1,"Causes",17
"644",2005,1,"Causes",71
"645",2005,1,"Causes",7
"646",2005,1,"Causes",189
"647",2005,1,"Causes",102
"648",2005,1,"Causes",22
"649",2005,1,"Causes",15
"650",2005,1,"Causes",29
"651",2005,1,"Causes",155
"652",2005,1,"Causes",73
"653",2005,1,"Causes",1
"654",2005,1,"Causes",1
"655",2005,1,"Causes",1
"656",2005,1,"Causes",58
"657",2005,1,"Causes",38
"658",2005,1,"Causes",1
"659",2005,1,"Causes",15
"660",2005,1,"Causes",1
"661",2005,1,"Causes",5
"662",2005,1,"Causes",2
"663",2005,1,"Causes",4
"664",2005,1,"Causes",21
"665",2005,1,"Causes",1
"666",2005,1,"Causes",27
"667",2005,1,"Causes",36
"668",2005,1,"Causes",12
"669",2005,1,"Causes",30
"670",2005,1,"Causes",23
"671",2005,1,"Causes",2
"672",2005,1,"Causes",3
"673",2005,1,"Causes",92
"674",2005,1,"Causes",39
"675",2005,1,"Causes",62
"676",2005,1,"Causes",92
"677",2006,1,"Causes",3
"678",2006,1,"Causes",38
"679",2006,1,"Causes",33
"680",2006,1,"Causes",1
"681",2006,1,"Causes",9
"682",2006,1,"Causes",17
"683",2006,1,"Causes",28
"684",2006,1,"Causes",7
"685",2006,1,"Causes",41
"686",2006,1,"Causes",3
"687",2006,1,"Causes",1
"688",2006,1,"Causes",2
"689",2006,1,"Causes",11
"690",2006,1,"Causes",1
"691",2006,1,"Causes",68
"692",2006,1,"Causes",488
"693",2006,1,"Causes",3
"694",2006,1,"Causes",5
"695",2006,1,"Causes",7
"696",2006,1,"Causes",9
"697",2006,1,"Causes",239
"698",2006,1,"Causes",34
"699",2006,1,"Causes",95
"700",2006,1,"Causes",118
"701",2006,1,"Causes",446
"702",2006,1,"Causes",87
"703",2006,1,"Causes",1
"704",2006,1,"Causes",22
"705",2006,1,"Causes",4
