"","Year","Died"
"1",2001,38.3619153674833
"2",2002,37.4954035761188
"3",2003,36.9311322665586
"4",2004,37.9933225414812
"5",2005,37.3075756043289
"6",2006,38.7476219388788
"7",2007,36.5026267932916
"8",2008,41.0357613210414
"9",2009,40.5001010917914
"10",2010,43.3226132686084
"11",2011,49.5799777979614
"12",2012,41.6087176375405
