"","Year","Died"
"1",2001,49.3238369449917
"2",2002,50.2096008084891
"3",2003,50.4206004245426
"4",2004,51.7179901936006
"5",2005,51.7699843458062
"6",2006,53.724401091681
"7",2007,55.7576538344953
"8",2008,56.8309339798959
"9",2009,57.820327504296
"10",2010,61.2026071139855
"11",2011,61.5722003433303
"12",2012,60.0569725743724
