"","Year","Died"
"1",2001,0
"2",2002,0.0723169157128054
"3",2003,0.0895436756636152
"4",2004,0.195467195962984
"5",2005,0.199712183682133
"6",2006,0.359277725813247
"7",2007,0.525279719442053
"8",2008,0.612906132089658
"9",2009,0.693683742307708
"10",2010,0.969825092763415
"11",2011,1
"12",2012,0.876291409743494
